Datafile: Demo6Waveforms, Trai: 6, Chan:1
Time (microsec)	Amplitude (mV)
0.000	0.000
0.600	0.006
1.200	0.009
1.800	0.021
2.400	0.012
3.000	-0.055
3.600	-0.152
4.200	-0.143
4.800	0.137
5.400	0.624
6.000	0.770
6.600	0.064
7.200	-1.257
7.800	-2.028
8.400	-1.212
9.000	0.929
9.600	2.892
10.200	3.029
10.800	1.014
11.400	-1.815
12.000	-3.419
12.600	-2.725
13.200	-0.545
13.800	1.397
14.400	1.927
15.000	1.136
15.600	0.170
16.200	0.018
16.800	0.630
17.400	0.971
18.000	0.268
18.600	-1.209
