Datafile: Demo6Waveforms, Trai: 2, Chan:1
Time (microsec)	Amplitude (mV)
264.000	-0.368
264.600	0.253
265.200	0.642
265.800	0.630
266.400	0.359
267.000	0.064
267.600	-0.152
268.200	-0.335
268.800	-0.448
269.400	-0.435
270.000	-0.219
270.600	0.155
271.200	0.472
271.800	0.542
272.400	0.292
273.000	-0.128
273.600	-0.463
274.200	-0.463
274.800	-0.140
275.400	0.304
276.000	0.548
276.600	0.432
277.200	0.037
277.800	-0.344
278.400	-0.438
279.000	-0.231
279.600	0.067
280.200	0.180
280.800	0.021
281.400	-0.304
282.000	-0.524
282.600	-0.365
283.200	0.189
283.800	0.856
284.400	1.178
285.000	0.874
285.600	0.070
286.200	-0.764
286.800	-1.184
287.400	-1.069
288.000	-0.563
288.600	0.052
289.200	0.569
289.800	0.789
290.400	0.670
291.000	0.323
291.600	-0.043
292.200	-0.283
292.800	-0.338
293.400	-0.277
294.000	-0.152
294.600	0.018
295.200	0.170
295.800	0.207
296.400	0.100
297.000	-0.027
297.600	-0.064
298.200	-0.006
298.800	0.073
299.400	0.024
300.000	-0.140
300.600	-0.289
301.200	-0.320
301.800	-0.158
302.400	0.119
303.000	0.411
303.600	0.548
304.200	0.432
304.800	0.104
305.400	-0.271
306.000	-0.518
306.600	-0.508
