Datafile: Demo6Waveforms, Trai: 2, Chan:1
Time (microsec)	Amplitude (mV)
0.000	0.006
0.600	-0.046
1.200	-0.079
1.800	-0.091
2.400	-0.067
3.000	-0.021
3.600	0.024
4.200	0.040
4.800	0.000
5.400	-0.040
6.000	-0.018
6.600	0.113
7.200	0.463
7.800	0.929
8.400	0.941
9.000	0.055
9.600	-2.113
10.200	-4.795
10.800	-4.920
11.400	0.314
12.000	8.570
12.600	11.928
13.200	5.310
13.800	-6.911
14.400	-14.057
15.000	-9.685
15.600	2.850
16.200	13.088
16.800	11.307
17.400	-1.260
18.000	-13.697
18.600	-14.726
19.200	-4.268
19.800	9.484
20.400	16.815
21.000	13.146
21.600	1.863
22.200	-9.131
22.800	-12.750
23.400	-7.949
24.000	-0.268
24.600	3.857
25.200	2.229
25.800	-1.282
26.400	-1.729
27.000	2.110
27.600	7.462
28.200	9.706
28.800	5.992
29.400	-2.101
30.000	-10.202
30.600	-14.510
31.200	-12.507
31.800	-4.868
32.400	5.301
33.000	13.758
33.600	16.261
34.200	11.530
34.800	2.116
35.400	-7.304
36.000	-13.079
36.600	-13.633
37.200	-8.653
37.800	-0.049
38.400	8.135
39.000	11.816
39.600	10.102
40.200	5.151
40.800	0.033
41.400	-3.940
42.000	-7.179
42.600	-9.633
43.200	-9.669
43.800	-6.305
44.400	-0.298
45.000	6.515
45.600	12.403
46.200	15.320
46.800	12.190
47.400	2.262
48.000	-10.193
48.600	-18.763
49.200	-17.981
49.800	-8.172
50.400	4.582
51.000	13.515
51.600	15.305
52.200	10.494
52.800	2.445
53.400	-4.652
54.000	-7.764
54.600	-6.339
55.200	-2.944
55.800	-1.525
56.400	-3.529
57.000	-5.721
57.600	-3.325
58.200	4.296
58.800	12.242
59.400	13.432
60.000	6.229
60.600	-4.664
61.200	-12.358
61.800	-11.630
62.400	-3.617
63.000	5.909
63.600	10.236
64.200	6.363
64.800	-1.842
65.400	-6.878
66.000	-4.987
66.600	0.792
67.200	4.460
67.800	2.634
68.400	-2.451
69.000	-6.107
69.600	-5.042
70.200	-0.381
70.800	4.424
71.400	7.002
72.000	6.549
72.600	3.288
73.200	-1.522
73.800	-5.611
74.400	-6.488
75.000	-3.873
75.600	0.058
76.200	2.978
76.800	4.101
77.400	3.434
78.000	1.111
78.600	-2.244
79.200	-4.612
79.800	-3.827
80.400	-0.259
81.000	3.309
81.600	4.244
82.200	2.289
82.800	-0.834
83.400	-3.191
84.000	-3.440
84.600	-1.263
85.200	2.076
85.800	4.153
86.400	3.045
87.000	-0.572
87.600	-3.614
88.200	-3.376
88.800	-0.231
89.400	3.041
90.000	3.641
90.600	1.105
91.200	-2.649
91.800	-4.823
92.400	-3.821
93.000	-0.365
93.600	3.261
94.200	4.664
94.800	3.093
95.400	0.119
96.000	-1.656
96.600	-1.069
97.200	0.505
97.800	0.886
98.400	-0.575
99.000	-2.786
99.600	-3.955
100.200	-2.987
100.800	-0.244
101.400	3.069
102.000	5.319
102.600	5.011
103.200	2.186
103.800	-1.464
104.400	-3.797
105.000	-3.781
105.600	-2.061
106.200	0.070
106.800	1.458
107.400	1.416
108.000	0.274
108.600	-0.883
109.200	-0.977
109.800	0.362
110.400	2.204
111.000	2.795
111.600	1.096
112.200	-1.997
112.800	-4.329
113.400	-4.001
114.000	-0.929
114.600	3.066
115.200	5.258
115.800	4.007
116.400	0.298
117.000	-3.370
117.600	-4.616
118.200	-2.752
118.800	0.700
119.400	3.352
120.000	3.672
120.600	1.836
121.200	-0.648
121.800	-2.323
122.400	-2.615
123.000	-1.955
123.600	-1.190
124.200	-0.703
124.800	0.061
125.400	1.504
126.000	3.166
126.600	3.803
127.200	2.411
127.800	-0.551
128.400	-3.166
129.000	-3.702
129.600	-2.040
130.200	0.311
130.800	1.519
131.400	0.910
132.000	-0.463
132.600	-0.846
133.200	0.429
133.800	2.192
134.400	2.466
135.000	0.515
135.600	-2.457
136.200	-4.061
136.800	-2.807
137.400	0.578
138.000	3.876
138.600	5.033
139.200	3.279
139.800	-0.368
140.400	-3.812
141.000	-5.212
141.600	-4.071
142.200	-1.504
142.800	0.856
143.400	2.253
144.000	3.005
144.600	3.635
145.200	3.873
145.800	2.798
146.400	0.082
147.000	-3.416
147.600	-5.979
148.200	-5.916
148.800	-3.020
149.400	1.187
150.000	4.555
150.600	5.602
151.200	4.067
151.800	0.929
152.400	-2.204
153.000	-3.864
153.600	-3.593
154.200	-2.003
154.800	-0.030
155.400	1.513
156.000	2.195
156.600	2.046
157.200	1.422
157.800	0.758
158.400	0.225
159.000	-0.356
159.600	-1.169
160.200	-1.979
160.800	-2.119
161.400	-1.270
162.000	0.152
162.600	1.467
163.200	2.232
163.800	2.079
164.400	0.865
165.000	-0.953
165.600	-2.390
166.200	-2.545
166.800	-1.297
167.400	0.633
168.000	2.086
168.600	2.372
169.200	1.617
169.800	0.527
170.400	-0.286
171.000	-0.773
171.600	-1.163
172.200	-1.586
172.800	-1.781
173.400	-1.340
174.000	-0.201
174.600	1.184
175.200	2.226
175.800	2.390
176.400	1.504
177.000	-0.070
177.600	-1.571
178.200	-2.259
178.800	-1.857
179.400	-0.585
180.000	0.953
180.600	1.927
181.200	1.720
181.800	0.460
182.400	-1.011
183.000	-1.656
183.600	-1.114
184.200	0.107
184.800	1.093
185.400	1.218
186.000	0.484
186.600	-0.469
187.200	-0.926
187.800	-0.566
188.400	0.253
189.000	0.825
189.600	0.588
190.200	-0.408
190.800	-1.434
191.400	-1.598
192.000	-0.548
192.600	1.123
193.200	2.408
193.800	2.378
194.400	0.974
195.000	-0.852
195.600	-1.982
196.200	-1.927
196.800	-1.090
197.400	-0.198
198.000	0.277
198.600	0.381
199.200	0.423
199.800	0.648
200.400	0.916
201.000	0.862
201.600	0.356
202.200	-0.365
202.800	-0.865
203.400	-0.776
204.000	-0.119
204.600	0.588
205.200	0.758
205.800	0.146
206.400	-0.852
207.000	-1.471
207.600	-1.200
208.200	-0.225
208.800	0.792
209.400	1.321
210.000	1.282
210.600	0.862
211.200	0.320
211.800	-0.131
212.400	-0.423
213.000	-0.600
213.600	-0.700
214.200	-0.703
214.800	-0.518
215.400	-0.119
216.000	0.374
216.600	0.679
217.200	0.609
217.800	0.216
218.400	-0.244
219.000	-0.524
219.600	-0.505
220.200	-0.207
220.800	0.225
221.400	0.575
222.000	0.627
222.600	0.374
223.200	-0.015
223.800	-0.307
224.400	-0.435
225.000	-0.454
225.600	-0.378
226.200	-0.155
226.800	0.164
227.400	0.435
228.000	0.508
228.600	0.411
229.200	0.259
229.800	0.100
230.400	-0.152
231.000	-0.597
231.600	-1.059
232.200	-1.181
232.800	-0.670
233.400	0.347
234.000	1.410
234.600	1.921
235.200	1.580
235.800	0.515
236.400	-0.752
237.000	-1.577
237.600	-1.589
238.200	-0.965
238.800	-0.244
239.400	0.195
240.000	0.378
240.600	0.572
241.200	0.874
241.800	1.084
242.400	0.840
243.000	0.049
243.600	-0.916
244.200	-1.437
244.800	-1.111
245.400	-0.131
246.000	0.898
246.600	1.303
247.200	0.831
247.800	-0.207
248.400	-1.142
249.000	-1.400
249.600	-0.883
250.200	0.046
250.800	0.856
251.400	1.206
252.000	1.105
252.600	0.731
253.200	0.222
253.800	-0.244
254.400	-0.548
255.000	-0.676
255.600	-0.697
256.200	-0.658
256.800	-0.545
257.400	-0.344
258.000	-0.009
258.600	0.384
259.200	0.731
259.800	0.910
260.400	0.843
261.000	0.499
261.600	-0.058
262.200	-0.627
262.800	-0.953
263.400	-0.856
