Datafile: Demo6Waveforms, Trai: 4, Chan:1
Time (microsec)	Amplitude (mV)
0.000	0.070
0.600	-0.061
1.200	-0.113
1.800	-0.067
2.400	0.015
3.000	0.037
3.600	-0.082
4.200	-0.216
4.800	-0.064
5.400	0.411
6.000	0.712
6.600	0.271
7.200	-0.670
7.800	-1.474
8.400	-1.404
9.000	0.381
9.600	2.953
10.200	3.772
10.800	1.513
11.400	-2.545
12.000	-5.456
12.600	-4.935
13.200	-1.461
13.800	3.084
14.400	6.147
15.000	5.078
15.600	-0.231
16.200	-4.947
16.800	-4.725
17.400	-0.295
18.000	4.034
18.600	5.803
19.200	4.591
19.800	0.603
20.400	-5.051
21.000	-9.161
21.600	-8.860
22.200	-4.180
22.800	2.430
23.400	7.362
24.000	7.901
24.600	4.859
25.200	1.087
25.800	-0.849
26.400	-0.834
27.000	-0.155
27.600	0.213
28.200	-0.061
28.800	-1.151
29.400	-3.072
30.000	-4.749
30.600	-4.695
31.200	-2.344
31.800	1.330
32.400	4.150
33.000	4.558
33.600	3.008
34.200	1.047
34.800	-0.493
35.400	-1.702
36.000	-2.082
36.600	-0.749
37.200	1.635
37.800	3.145
38.400	2.493
39.000	0.177
39.600	-2.280
40.200	-3.611
40.800	-3.370
41.400	-1.681
42.000	0.326
42.600	1.334
43.200	1.178
43.800	0.813
44.400	1.099
45.000	1.541
45.600	0.962
46.200	-0.618
46.800	-1.766
47.400	-1.254
