Datafile: Demo6Waveforms, Trai: 3, Chan:1
Time (microsec)	Amplitude (mV)
108.000	-32.327
108.600	18.072
109.200	45.482
109.800	43.707
110.400	27.946
111.000	5.961
111.600	-20.456
112.200	-41.253
112.800	-42.559
113.400	-22.904
114.000	6.664
114.600	30.692
115.200	38.818
115.800	30.068
116.400	7.751
117.000	-18.535
117.600	-30.853
118.200	-18.541
118.800	8.917
119.400	25.413
120.000	14.321
120.600	-13.034
121.200	-30.604
121.800	-23.857
122.400	2.704
123.000	28.317
123.600	32.580
124.200	12.784
124.800	-14.702
125.400	-30.467
126.000	-24.311
126.600	-4.841
127.200	11.709
127.800	16.313
128.400	14.455
129.000	15.746
129.600	17.208
130.200	9.057
130.800	-11.718
131.400	-34.671
132.000	-40.230
132.600	-19.579
133.200	15.031
133.800	38.468
134.400	34.300
135.000	10.096
135.600	-13.222
136.200	-20.870
136.800	-13.886
137.400	-3.851
138.000	-0.755
138.600	-3.498
139.200	-3.663
139.800	2.771
140.400	12.272
141.000	17.607
141.600	13.499
142.200	3.297
142.800	-7.212
143.400	-13.536
144.000	-13.618
144.600	-8.710
145.200	-2.859
145.800	-0.682
146.400	-0.816
147.000	3.136
147.600	13.877
148.200	23.528
148.800	19.025
149.400	-2.019
150.000	-26.326
150.600	-34.659
151.200	-21.978
151.800	0.782
152.400	19.558
153.000	25.413
153.600	18.639
154.200	4.707
154.800	-7.675
155.400	-12.160
156.000	-8.890
156.600	-2.834
157.200	1.431
157.800	2.938
158.400	4.278
159.000	5.715
159.600	3.456
160.200	-3.720
160.800	-9.691
161.400	-7.995
162.000	0.295
162.600	6.555
163.200	3.924
163.800	-4.250
164.400	-8.707
165.000	-4.192
165.600	4.673
166.200	11.216
166.800	11.240
167.400	5.340
168.000	-3.498
168.600	-9.813
169.200	-7.222
169.800	3.474
170.400	11.782
171.000	7.532
171.600	-6.016
172.200	-16.145
172.800	-12.671
173.400	-0.551
174.000	6.938
174.600	3.997
175.200	-2.841
175.800	-3.876
176.400	2.545
177.000	10.784
177.600	13.451
178.200	8.202
178.800	-0.968
179.400	-8.917
180.000	-11.642
180.600	-9.012
181.200	-4.479
181.800	-1.699
182.400	-0.286
183.000	2.956
183.600	9.194
184.200	14.711
184.800	12.163
185.400	0.676
186.000	-13.158
186.600	-19.674
187.200	-14.184
187.800	-1.133
188.400	9.651
189.000	12.032
189.600	6.628
190.200	-0.767
190.800	-3.245
191.400	0.898
192.000	6.427
192.600	6.077
193.200	-1.982
193.800	-12.163
194.400	-14.041
195.000	-5.060
195.600	7.298
196.200	13.183
196.800	8.525
197.400	-1.483
198.000	-7.630
198.600	-5.167
199.200	2.003
199.800	5.839
200.400	2.092
201.000	-5.909
201.600	-9.411
202.200	-4.479
202.800	5.291
203.400	12.501
204.000	11.027
204.600	1.866
205.200	-8.583
205.800	-13.131
206.400	-8.860
207.000	0.764
207.600	8.086
208.200	7.301
208.800	0.560
209.400	-4.022
210.000	-1.644
210.600	5.075
211.200	8.333
211.800	3.267
212.400	-6.558
213.000	-12.894
213.600	-10.150
214.200	-0.889
214.800	7.992
215.400	10.735
216.000	7.139
216.600	0.929
217.200	-4.287
217.800	-6.457
218.400	-5.270
219.000	-1.528
219.600	2.774
220.200	5.109
220.800	4.308
221.400	1.519
222.000	-1.443
222.600	-3.035
223.200	-2.402
223.800	-0.664
224.400	0.119
225.000	-0.828
225.600	-2.694
226.200	-3.608
226.800	-1.961
227.400	1.717
228.000	5.562
228.600	7.730
229.200	7.015
229.800	3.285
230.400	-2.932
231.000	-9.094
231.600	-10.893
232.200	-6.375
232.800	1.872
233.400	8.418
234.000	9.228
234.600	4.902
235.200	-0.231
235.800	-2.600
236.400	-3.069
237.000	-4.622
237.600	-7.480
238.200	-8.598
238.800	-4.969
239.400	1.967
240.000	8.184
240.600	11.079
241.200	10.531
241.800	7.873
242.400	4.061
243.000	-0.307
243.600	-4.515
244.200	-7.837
244.800	-10.032
245.400	-10.939
246.000	-9.679
246.600	-5.005
247.200	2.500
247.800	9.886
248.400	13.262
249.000	11.000
249.600	4.905
250.200	-1.614
250.800	-6.168
251.400	-7.754
252.000	-6.165
252.600	-2.396
253.200	1.912
253.800	5.252
254.400	6.497
255.000	5.261
255.600	1.878
256.200	-2.667
256.800	-6.515
257.400	-7.553
258.000	-5.672
258.600	-3.048
259.200	-1.263
259.800	0.627
260.400	4.055
261.000	8.150
261.600	9.472
262.200	6.053
262.800	-0.222
263.400	-5.547
264.000	-6.841
264.600	-4.399
265.200	-0.630
265.800	2.478
266.400	3.599
267.000	1.930
267.600	-1.376
268.200	-3.949
268.800	-4.061
269.400	-1.894
270.000	0.402
270.600	0.792
271.200	-0.304
271.800	-0.880
272.400	0.755
273.000	4.031
273.600	6.728
274.200	6.917
274.800	4.077
275.400	-0.904
276.000	-5.620
276.600	-7.739
277.200	-6.677
277.800	-3.583
278.400	-0.353
279.000	1.723
279.600	2.710
280.200	2.704
280.800	1.464
281.400	-0.597
282.000	-2.329
282.600	-2.326
283.200	-0.256
283.800	2.700
284.400	5.130
285.000	6.126
285.600	5.212
286.200	2.332
286.800	-1.958
287.400	-6.183
288.000	-8.202
288.600	-7.136
289.200	-3.964
289.800	-0.323
290.400	2.588
291.000	4.220
291.600	4.299
292.200	2.856
292.800	0.606
293.400	-1.047
294.000	-1.227
294.600	-0.259
295.200	0.557
295.800	0.365
296.400	-0.417
297.000	-0.615
297.600	0.518
298.200	2.615
298.800	4.293
299.400	3.800
300.000	0.484
300.600	-4.436
301.200	-8.281
301.800	-8.631
302.400	-5.212
303.000	-0.027
303.600	4.290
304.200	6.193
304.800	5.657
305.400	3.699
306.000	1.480
306.600	-0.189
