Datafile: Demo6Waveforms, Trai: 3, Chan:1
Time (microsec)	Amplitude (mV)
0.000	0.003
0.600	0.003
1.200	0.003
1.800	0.000
2.400	0.000
3.000	-0.003
3.600	0.000
4.200	0.000
4.800	-0.003
5.400	0.000
6.000	-0.003
6.600	0.000
7.200	0.000
7.800	0.003
8.400	-0.085
9.000	0.618
9.600	1.839
10.200	-5.547
10.800	-17.016
11.400	-5.976
12.000	45.010
12.600	70.727
13.200	-4.378
13.800	-99.760
14.400	-67.394
15.000	-87.177
15.600	77.995
16.200	99.760
16.800	99.760
17.400	60.035
18.000	-99.760
18.600	-99.760
19.200	-99.760
19.800	-7.922
20.400	99.760
21.000	87.168
21.600	99.760
22.200	-70.734
22.800	-99.760
23.400	-88.903
24.000	-64.550
24.600	99.760
25.200	99.760
25.800	99.760
26.400	21.574
27.000	-99.760
27.600	-93.260
28.200	-93.153
28.800	-10.881
29.400	99.760
30.000	88.066
30.600	79.989
31.200	16.529
31.800	-99.760
32.400	-99.760
33.000	-99.760
33.600	24.003
34.200	99.760
34.800	97.102
35.400	95.851
36.000	-16.048
36.600	-99.760
37.200	-92.085
37.800	-97.952
38.400	55.773
39.000	99.760
39.600	89.290
40.200	54.588
40.800	-36.139
41.400	-96.207
42.000	-99.760
42.600	-75.383
43.200	50.746
43.800	99.760
44.400	83.612
45.000	62.815
45.600	-35.950
46.200	-92.465
46.800	-75.553
47.400	-36.845
48.000	-33.539
48.600	57.295
49.200	99.760
49.800	99.760
50.400	50.089
51.000	-99.760
51.600	-99.760
52.200	-99.760
52.800	-1.958
53.400	98.573
54.000	99.760
54.600	65.165
55.200	-31.776
55.800	-92.557
56.400	-85.737
57.000	21.193
57.600	89.945
58.200	99.760
58.800	18.779
59.400	-90.605
60.000	-74.530
60.600	-66.139
61.200	9.261
61.800	74.186
62.400	88.903
63.000	53.148
63.600	-9.234
64.200	-68.070
64.800	-90.648
65.400	-60.120
66.000	-0.664
66.600	38.127
67.200	34.595
67.800	15.189
68.400	31.365
69.000	56.802
69.600	51.480
70.200	-5.361
70.800	-83.862
71.400	-95.915
72.000	-39.010
72.600	30.019
73.200	57.091
73.800	44.520
74.400	14.038
75.000	-15.658
75.600	-28.698
76.200	-13.630
76.800	25.087
77.400	49.391
78.000	25.321
78.600	-35.791
79.200	-83.919
79.800	-77.891
80.400	-23.419
81.000	40.407
81.600	82.065
82.200	86.812
82.800	63.451
83.400	-8.844
84.000	-93.129
84.600	-95.272
85.200	-72.417
85.800	36.273
86.400	99.760
87.000	99.087
87.600	17.774
88.200	-61.524
88.800	-85.834
89.400	-56.513
90.000	-2.037
90.600	46.934
91.200	62.276
91.800	26.752
92.400	-39.728
93.000	-77.763
93.600	-50.862
94.200	19.671
94.800	72.703
95.400	77.136
96.000	46.283
96.600	9.788
97.200	-23.574
97.800	-58.431
98.400	-76.314
99.000	-52.960
99.600	3.693
100.200	51.781
100.800	58.166
101.400	27.663
102.000	-11.816
102.600	-38.014
103.200	-40.258
103.800	-12.839
104.400	31.824
105.000	62.681
105.600	50.189
106.200	-4.479
106.800	-60.142
107.400	-70.216
