Datafile: Demo6Waveforms, Trai: 5, Chan:1
Time (microsec)	Amplitude (mV)
0.000	0.049
0.600	0.107
1.200	0.012
1.800	-0.314
2.400	-0.585
3.000	-0.268
3.600	0.603
4.200	1.236
4.800	0.862
5.400	-0.365
6.000	-1.388
6.600	-1.291
7.200	-0.082
7.800	1.477
8.400	2.235
9.000	1.084
9.600	-1.903
10.200	-4.893
10.800	-5.005
11.400	-1.175
12.000	4.622
12.600	8.625
13.200	7.989
13.800	2.777
14.400	-3.745
15.000	-7.861
15.600	-7.733
16.200	-4.335
16.800	-0.021
17.400	2.834
18.000	3.264
18.600	2.025
19.200	0.782
19.800	0.776
20.400	1.562
21.000	1.626
21.600	0.311
22.200	-1.300
22.800	-1.711
23.400	-0.664
24.000	0.789
24.600	1.422
25.200	0.785
25.800	-0.883
26.400	-2.719
27.000	-3.407
27.600	-2.149
28.200	0.429
28.800	2.475
29.400	2.557
30.000	0.983
30.600	-0.384
31.200	-0.143
31.800	1.400
32.400	2.521
33.000	1.760
33.600	-0.910
34.200	-4.131
34.800	-5.809
35.400	-4.113
36.000	0.639
36.600	6.031
37.200	8.762
37.800	6.628
38.400	0.737
39.000	-5.483
39.600	-8.698
40.200	-7.666
40.800	-3.766
41.400	0.703
42.000	3.943
42.600	5.191
43.200	4.689
43.800	3.255
44.400	1.711
45.000	0.216
45.600	-1.547
46.200	-3.611
46.800	-5.182
47.400	-4.853
48.000	-2.058
48.600	2.058
49.200	5.477
49.800	6.500
50.400	4.661
51.000	0.980
51.600	-2.777
52.200	-5.030
52.800	-5.081
53.400	-3.319
54.000	-0.907
54.600	1.047
55.200	2.122
55.800	2.588
56.400	2.749
57.000	2.466
57.600	1.346
58.200	-0.612
58.800	-2.652
59.400	-3.580
60.000	-2.749
60.600	-0.542
61.200	1.888
61.800	3.407
62.400	3.373
63.000	1.815
63.600	-0.585
64.200	-2.746
64.800	-3.745
65.400	-3.227
66.000	-1.522
66.600	0.594
67.200	2.451
67.800	3.510
68.400	3.523
69.000	2.451
69.600	0.575
70.200	-1.528
70.800	-3.188
71.400	-3.943
72.000	-3.629
72.600	-2.262
73.200	-0.006
73.800	2.551
74.400	4.451
75.000	4.646
75.600	2.886
76.200	0.049
76.800	-2.500
77.400	-3.650
78.000	-3.069
78.600	-1.257
79.200	0.715
79.800	1.836
80.400	1.656
81.000	0.591
81.600	-0.435
82.200	-0.743
82.800	-0.396
83.400	-0.027
84.000	-0.170
84.600	-0.658
85.200	-0.828
85.800	-0.195
86.400	1.026
87.000	2.137
87.600	2.460
88.200	1.632
88.800	-0.189
89.400	-2.274
90.000	-3.656
90.600	-3.526
91.200	-1.808
91.800	0.624
92.400	2.603
93.000	3.379
93.600	2.886
94.200	1.629
94.800	0.195
95.400	-1.035
96.000	-1.863
96.600	-2.229
97.200	-2.061
97.800	-1.367
98.400	-0.237
99.000	1.072
99.600	2.125
100.200	2.329
100.800	1.400
101.400	-0.225
102.000	-1.653
102.600	-2.095
103.200	-1.446
103.800	-0.247
104.400	0.798
105.000	1.291
105.600	1.263
106.200	0.947
106.800	0.557
107.400	0.140
108.000	-0.323
108.600	-0.892
109.200	-1.404
109.800	-1.541
110.400	-0.986
111.000	0.131
111.600	1.260
112.200	1.790
112.800	1.449
113.400	0.505
114.000	-0.548
114.600	-1.349
115.200	-1.711
115.800	-1.510
116.400	-0.725
117.000	0.420
117.600	1.513
118.200	2.122
