Datafile: Demo6Waveforms, Trai: 5, Chan:1
Time (microsec)	Amplitude (mV)
118.800	2.089
119.400	1.464
120.000	0.463
120.600	-0.682
121.200	-1.693
121.800	-2.256
122.400	-2.192
123.000	-1.583
123.600	-0.615
124.200	0.463
124.800	1.431
125.400	2.025
126.000	2.019
126.600	1.324
127.200	0.210
127.800	-0.856
128.400	-1.404
129.000	-1.245
129.600	-0.578
130.200	0.198
130.800	0.655
131.400	0.582
132.000	0.067
132.600	-0.551
133.200	-0.883
133.800	-0.731
134.400	-0.161
135.000	0.542
135.600	1.099
136.200	1.334
136.800	1.166
137.400	0.648
138.000	-0.055
138.600	-0.752
139.200	-1.285
139.800	-1.556
140.400	-1.513
141.000	-1.108
141.600	-0.365
142.200	0.521
142.800	1.282
143.400	1.665
144.000	1.550
144.600	0.999
145.200	0.295
145.800	-0.311
146.400	-0.645
147.000	-0.737
147.600	-0.682
148.200	-0.566
148.800	-0.411
149.400	-0.170
150.000	0.107
150.600	0.353
151.200	0.445
151.800	0.277
152.400	-0.116
153.000	-0.515
153.600	-0.645
154.200	-0.384
154.800	0.143
155.400	0.667
156.000	0.907
156.600	0.737
157.200	0.274
157.800	-0.225
158.400	-0.518
159.000	-0.539
159.600	-0.356
160.200	-0.113
160.800	0.104
161.400	0.237
162.000	0.283
162.600	0.283
163.200	0.237
163.800	0.104
164.400	-0.146
165.000	-0.487
165.600	-0.764
166.200	-0.825
166.800	-0.575
167.400	-0.067
168.000	0.527
168.600	0.980
169.200	1.090
169.800	0.862
170.400	0.423
171.000	-0.027
171.600	-0.390
172.200	-0.630
172.800	-0.709
173.400	-0.667
174.000	-0.505
174.600	-0.222
175.200	0.107
175.800	0.435
176.400	0.645
177.000	0.630
177.600	0.368
178.200	-0.037
178.800	-0.402
179.400	-0.585
180.000	-0.515
180.600	-0.241
181.200	0.100
181.800	0.423
182.400	0.618
183.000	0.627
183.600	0.411
184.200	0.003
184.800	-0.466
185.400	-0.843
186.000	-0.959
186.600	-0.725
187.200	-0.180
187.800	0.469
188.400	0.971
189.000	1.087
189.600	0.789
190.200	0.231
190.800	-0.323
191.400	-0.685
192.000	-0.740
192.600	-0.548
193.200	-0.222
193.800	0.061
194.400	0.237
195.000	0.323
195.600	0.381
196.200	0.384
196.800	0.271
197.400	-0.015
198.000	-0.417
198.600	-0.752
199.200	-0.834
199.800	-0.557
200.400	0.006
201.000	0.648
201.600	1.114
202.200	1.221
202.800	0.922
203.400	0.311
204.000	-0.387
204.600	-0.962
205.200	-1.236
205.800	-1.151
206.400	-0.715
207.000	-0.076
207.600	0.545
208.200	0.919
208.800	0.935
209.400	0.636
210.000	0.183
210.600	-0.244
211.200	-0.502
211.800	-0.542
212.400	-0.381
213.000	-0.091
213.600	0.198
214.200	0.426
214.800	0.490
215.400	0.359
216.000	0.030
216.600	-0.396
217.200	-0.725
217.800	-0.773
218.400	-0.445
219.000	0.113
219.600	0.664
220.200	0.953
220.800	0.874
221.400	0.475
222.000	-0.067
222.600	-0.560
223.200	-0.834
223.800	-0.816
224.400	-0.557
225.000	-0.189
225.600	0.174
226.200	0.457
226.800	0.612
227.400	0.621
228.000	0.481
228.600	0.222
229.200	-0.107
229.800	-0.417
230.400	-0.636
231.000	-0.664
231.600	-0.460
232.200	-0.052
232.800	0.426
233.400	0.776
234.000	0.822
234.600	0.511
235.200	-0.052
235.800	-0.630
236.400	-0.956
237.000	-0.871
237.600	-0.399
238.200	0.250
238.800	0.789
239.400	0.974
240.000	0.761
240.600	0.244
241.200	-0.350
241.800	-0.795
242.400	-0.922
243.000	-0.685
243.600	-0.210
244.200	0.326
244.800	0.712
245.400	0.828
246.000	0.658
246.600	0.301
247.200	-0.104
247.800	-0.414
248.400	-0.569
249.000	-0.578
249.600	-0.466
250.200	-0.292
250.800	-0.043
251.400	0.262
252.000	0.533
252.600	0.691
253.200	0.624
253.800	0.329
254.400	-0.143
255.000	-0.582
255.600	-0.816
256.200	-0.749
256.800	-0.384
257.400	0.088
258.000	0.505
258.600	0.712
259.200	0.682
259.800	0.463
260.400	0.134
261.000	-0.183
261.600	-0.423
262.200	-0.542
262.800	-0.521
263.400	-0.371
264.000	-0.128
264.600	0.143
265.200	0.344
265.800	0.423
266.400	0.365
267.000	0.204
267.600	0.012
268.200	-0.143
268.800	-0.231
269.400	-0.241
270.000	-0.158
270.600	-0.046
271.200	0.100
271.800	0.192
272.400	0.222
273.000	0.152
273.600	-0.003
274.200	-0.186
274.800	-0.314
275.400	-0.326
276.000	-0.195
276.600	0.003
277.200	0.195
277.800	0.323
278.400	0.353
279.000	0.301
279.600	0.192
280.200	0.055
280.800	-0.100
281.400	-0.244
282.000	-0.353
282.600	-0.399
283.200	-0.347
283.800	-0.195
284.400	0.012
285.000	0.228
285.600	0.359
286.200	0.384
286.800	0.317
287.400	0.183
288.000	0.027
288.600	-0.110
289.200	-0.192
289.800	-0.231
290.400	-0.210
291.000	-0.146
291.600	-0.070
292.200	0.000
292.800	0.046
293.400	0.070
294.000	0.091
294.600	0.094
295.200	0.088
295.800	0.061
296.400	0.018
297.000	-0.012
297.600	-0.030
298.200	-0.018
298.800	-0.009
299.400	0.000
300.000	-0.021
300.600	-0.040
301.200	-0.079
301.800	-0.082
302.400	-0.058
303.000	0.003
303.600	0.073
304.200	0.119
304.800	0.107
305.400	0.067
306.000	-0.006
306.600	-0.064
